ISO Date,Timezone,Simple Date,"ELECTRICITY_DEMAND"
2020-08-13T04:00:00.000Z,America/New_York,2020-8-13 12:00:00 AM,734.4000072479248
2020-08-13T04:15:00.000Z,America/New_York,2020-8-13 12:15:00 AM,749.5200061798096
2020-08-13T04:30:00.000Z,America/New_York,2020-8-13 12:30:00 AM,749.5200061798096
2020-08-13T04:45:00.000Z,America/New_York,2020-8-13 12:45:00 AM,723.6000080108643
2020-08-13T05:00:00.000Z,America/New_York,2020-8-13 1:00:00 AM,740.8800067901611
2020-08-13T05:15:00.000Z,America/New_York,2020-8-13 1:15:00 AM,743.0400123596191
2020-08-13T05:30:00.000Z,America/New_York,2020-8-13 1:30:00 AM,734.4000034332275
2020-08-13T05:45:00.000Z,America/New_York,2020-8-13 1:45:00 AM,725.7600059509277
2020-08-13T06:00:00.000Z,America/New_York,2020-8-13 2:00:00 AM,732.2400074005127
2020-08-13T06:15:00.000Z,America/New_York,2020-8-13 2:15:00 AM,714.9600086212158
2020-08-13T06:30:00.000Z,America/New_York,2020-8-13 2:30:00 AM,719.2800045013428
2020-08-13T06:45:00.000Z,America/New_York,2020-8-13 2:45:00 AM,736.5600070953369
2020-08-13T07:00:00.000Z,America/New_York,2020-8-13 3:00:00 AM,740.8800029754639
2020-08-13T07:15:00.000Z,America/New_York,2020-8-13 3:15:00 AM,734.4000072479248
2020-08-13T07:30:00.000Z,America/New_York,2020-8-13 3:30:00 AM,727.9200077056885
2020-08-13T07:45:00.000Z,America/New_York,2020-8-13 3:45:00 AM,751.6800060272217
2020-08-13T08:00:00.000Z,America/New_York,2020-8-13 4:00:00 AM,747.3600082397461
2020-08-13T08:15:00.000Z,America/New_York,2020-8-13 4:15:00 AM,736.5600032806396
2020-08-13T08:30:00.000Z,America/New_York,2020-8-13 4:30:00 AM,749.5200099945068
2020-08-13T08:45:00.000Z,America/New_York,2020-8-13 4:45:00 AM,749.5200023651123
2020-08-13T09:00:00.000Z,America/New_York,2020-8-13 5:00:00 AM,755.9999980926514
2020-08-13T09:15:00.000Z,America/New_York,2020-8-13 5:15:00 AM,768.9600048065186
2020-08-13T09:30:00.000Z,America/New_York,2020-8-13 5:30:00 AM,773.2800102233887
2020-08-13T09:45:00.000Z,America/New_York,2020-8-13 5:45:00 AM,799.2000141143799
2020-08-13T10:00:00.000Z,America/New_York,2020-8-13 6:00:00 AM,756.0000152587891
2020-08-13T10:15:00.000Z,America/New_York,2020-8-13 6:15:00 AM,1026.0000171661377
2020-08-13T10:30:00.000Z,America/New_York,2020-8-13 6:30:00 AM,1203.1200046539307
2020-08-13T10:45:00.000Z,America/New_York,2020-8-13 6:45:00 AM,1425.5999965667725
2020-08-13T11:00:00.000Z,America/New_York,2020-8-13 7:00:00 AM,1578.9600048065186
2020-08-13T11:15:00.000Z,America/New_York,2020-8-13 7:15:00 AM,1693.439992904663
2020-08-13T11:30:00.000Z,America/New_York,2020-8-13 7:30:00 AM,1194.4799976348877
2020-08-13T11:45:00.000Z,America/New_York,2020-8-13 7:45:00 AM,1864.0799961090088
2020-08-13T12:00:00.000Z,America/New_York,2020-8-13 8:00:00 AM,1935.3599910736084
2020-08-13T12:15:00.000Z,America/New_York,2020-8-13 8:15:00 AM,2013.120002746582
2020-08-13T12:30:00.000Z,America/New_York,2020-8-13 8:30:00 AM,2008.800006866455
2020-08-13T12:45:00.000Z,America/New_York,2020-8-13 8:45:00 AM,1939.6800155639648
2020-08-13T13:00:00.000Z,America/New_York,2020-8-13 9:00:00 AM,1956.9599876403809
2020-08-13T13:15:00.000Z,America/New_York,2020-8-13 9:15:00 AM,1969.9199714660645
2020-08-13T13:30:00.000Z,America/New_York,2020-8-13 9:30:00 AM,1998.0000076293945
2020-08-13T13:45:00.000Z,America/New_York,2020-8-13 9:45:00 AM,2019.6000061035156
2020-08-13T14:00:00.000Z,America/New_York,2020-8-13 10:00:00 AM,1985.040023803711
2020-08-13T14:15:00.000Z,America/New_York,2020-8-13 10:15:00 AM,1993.680019378662
2020-08-13T14:30:00.000Z,America/New_York,2020-8-13 10:30:00 AM,1982.8800010681152
2020-08-13T14:45:00.000Z,America/New_York,2020-8-13 10:45:00 AM,1941.840000152588
2020-08-13T15:00:00.000Z,America/New_York,2020-8-13 11:00:00 AM,1853.279987335205
2020-08-13T15:15:00.000Z,America/New_York,2020-8-13 11:15:00 AM,1931.0399856567383
2020-08-13T15:30:00.000Z,America/New_York,2020-8-13 11:30:00 AM,1931.0400047302246
2020-08-13T15:45:00.000Z,America/New_York,2020-8-13 11:45:00 AM,1918.079990386963
2020-08-13T16:00:00.000Z,America/New_York,2020-8-13 12:00:00 PM,1935.3599891662598
2020-08-13T16:15:00.000Z,America/New_York,2020-8-13 12:15:00 PM,1799.2799987792969
2020-08-13T16:30:00.000Z,America/New_York,2020-8-13 12:30:00 PM,1790.640007019043
2020-08-13T16:45:00.000Z,America/New_York,2020-8-13 12:45:00 PM,1844.640022277832
2020-08-13T17:00:00.000Z,America/New_York,2020-8-13 1:00:00 PM,1844.6400299072266
2020-08-13T17:15:00.000Z,America/New_York,2020-8-13 1:15:00 PM,1848.960048675537
2020-08-13T17:30:00.000Z,America/New_York,2020-8-13 1:30:00 PM,1857.600025177002
2020-08-13T17:45:00.000Z,America/New_York,2020-8-13 1:45:00 PM,1840.3200225830078
2020-08-13T18:00:00.000Z,America/New_York,2020-8-13 2:00:00 PM,1848.9600448608398
2020-08-13T18:15:00.000Z,America/New_York,2020-8-13 2:15:00 PM,1870.56001663208
2020-08-13T18:30:00.000Z,America/New_York,2020-8-13 2:30:00 PM,1870.5600357055664
2020-08-13T18:45:00.000Z,America/New_York,2020-8-13 2:45:00 PM,1883.52001953125
2020-08-13T19:00:00.000Z,America/New_York,2020-8-13 3:00:00 PM,1887.840000152588
